               epoch,      train/box_loss,      train/obj_loss,      train/cls_loss,   metrics/precision,      metrics/recall,     metrics/mAP_0.5,metrics/mAP_0.5:0.95,        val/box_loss,        val/obj_loss,        val/cls_loss,               x/lr0,               x/lr1,               x/lr2
                  85,            0.029724,             0.05141,            0.013566,             0.72071,             0.45713,             0.48912,             0.29742,             0.03238,            0.043152,            0.014647,            0.001684,            0.001684,            0.001684
                  86,            0.029457,            0.051401,            0.013533,             0.76176,             0.44325,             0.49027,             0.29907,            0.032364,            0.043015,            0.014595,            0.001585,            0.001585,            0.001585
                  87,            0.029442,            0.052026,            0.013809,             0.81369,             0.42948,             0.49026,             0.29755,            0.032669,            0.043518,            0.014729,            0.001486,            0.001486,            0.001486
                  88,            0.029484,            0.052792,            0.013321,             0.79995,             0.43736,             0.49641,             0.30565,             0.03218,            0.042912,            0.014597,            0.001387,            0.001387,            0.001387
                  89,             0.02924,            0.052225,            0.013461,             0.76761,             0.44786,             0.49963,             0.30388,            0.032613,            0.043428,            0.014679,            0.001288,            0.001288,            0.001288
                  90,            0.029071,            0.051783,            0.013124,             0.74247,             0.45622,             0.49263,             0.29681,            0.032656,            0.043726,            0.014634,            0.001189,            0.001189,            0.001189
                  91,            0.028993,            0.051678,            0.012904,             0.80333,             0.44275,             0.49394,              0.2988,            0.032554,            0.043453,            0.014648,             0.00109,             0.00109,             0.00109
                  92,            0.029071,            0.051354,            0.013195,             0.75357,             0.45923,             0.49381,             0.29688,             0.03292,            0.043871,            0.014667,            0.000991,            0.000991,            0.000991
                  93,            0.028702,            0.051585,            0.012735,             0.79842,             0.44808,             0.49781,             0.30433,            0.032415,            0.043412,            0.014471,            0.000892,            0.000892,            0.000892
                  94,            0.028908,            0.051944,            0.012856,             0.75863,             0.45965,             0.50778,             0.30981,             0.03252,            0.043409,              0.0145,            0.000793,            0.000793,            0.000793
                  95,            0.028569,            0.051958,            0.012538,             0.77344,             0.46377,             0.50955,             0.31098,            0.032598,            0.043414,            0.014505,            0.000694,            0.000694,            0.000694
                  96,            0.028509,             0.05079,            0.012776,             0.78165,             0.45829,             0.51133,             0.31243,             0.03248,            0.043451,            0.014543,            0.000595,            0.000595,            0.000595
                  97,            0.028578,            0.051238,             0.01248,             0.74655,             0.45909,             0.50972,             0.31095,            0.032373,            0.043427,            0.014718,            0.000496,            0.000496,            0.000496
                  98,            0.028535,            0.051332,            0.012754,             0.77743,             0.45587,             0.50744,             0.31033,            0.032443,            0.043488,            0.014585,            0.000397,            0.000397,            0.000397
                  99,            0.028293,            0.051837,             0.01261,             0.72898,             0.46074,             0.51388,             0.31272,            0.032585,            0.043595,            0.014541,            0.000298,            0.000298,            0.000298
